10000; 669382
20000; 1458574
30000; 2247703
40000; 3156843
50000; 4046012
60000; 4975136
70000; 5804299
80000; 6793432
90000; 7642638
100000; 8691690
10000; 669385
20000; 1458574
30000; 2247718
40000; 3156843
50000; 4046018
60000; 4975136
70000; 5804320
80000; 6793432
90000; 7642626
100000; 8691690
10000; 669382
20000; 1458577
30000; 2247718
40000; 3156840
50000; 4046015
60000; 4975136
70000; 5804314
80000; 6793432
90000; 7642629
100000; 8691693
100000; 8691690
200000; 18583063
300000; 29074485
400000; 39565858
500000; 50457232
600000; 61748586
700000; 73439986
800000; 83931352
900000; 96222684
1000000; 106914090
100000; 8691693
200000; 18583066
300000; 29074482
400000; 39565855
500000; 50457241
600000; 61748589
700000; 73439980
800000; 83931358
900000; 96222684
1000000; 106914081
100000; 8691690
200000; 18583060
300000; 29074488
400000; 39565864
500000; 50457235
600000; 61748586
700000; 73439980
800000; 83931373
900000; 96222690
1000000; 106914075
100000; 8691690
